t,x,y,yaw,min_range,wp_i,mode,v,w
0.000,0.0000,0.0000,0.0000,0.5792,0,RUN,0.2200,0.0000
0.000,0.0000,0.0000,0.0000,0.5792,0,RUN,0.2200,0.0000
0.100,0.0012,-0.0000,0.0000,0.5788,0,RUN,0.2200,0.0000
0.100,0.0012,-0.0000,0.0000,0.5788,0,RUN,0.2200,0.0000
0.200,0.0116,-0.0000,-0.0000,0.5707,0,RUN,0.2200,0.0000
0.200,0.0116,-0.0000,-0.0000,0.5707,0,RUN,0.2200,0.0000
0.300,0.0318,-0.0000,-0.0000,0.5480,0,RUN,0.2200,0.0000
0.300,0.0318,-0.0000,-0.0000,0.5480,0,RUN,0.2200,0.0000
0.400,0.0542,-0.0000,-0.0000,0.5356,0,RUN,0.2200,0.0000
0.400,0.0542,-0.0000,-0.0000,0.5356,0,RUN,0.2200,0.0000
0.500,0.0766,-0.0000,-0.0000,0.5012,0,RUN,0.2200,0.0000
0.500,0.0766,-0.0000,-0.0000,0.5012,0,RUN,0.2200,0.0000
0.600,0.0916,-0.0000,-0.0000,0.4900,0,RUN,0.2200,0.0000
0.600,0.0916,-0.0000,-0.0000,0.4900,0,RUN,0.2200,0.0000
0.700,0.1140,-0.0000,-0.0000,0.4784,0,RUN,0.2200,0.0000
0.700,0.1140,-0.0000,-0.0000,0.4784,0,RUN,0.2200,0.0000
0.800,0.1365,-0.0000,-0.0000,0.4586,0,RUN,0.2200,0.0000
0.800,0.1365,-0.0000,-0.0000,0.4586,0,RUN,0.2200,0.0000
0.900,0.1589,-0.0000,-0.0000,0.4369,0,RUN,0.2200,0.0000
0.900,0.1589,-0.0000,-0.0000,0.4369,0,RUN,0.2200,0.0000
1.000,0.1814,-0.0000,-0.0000,0.4134,0,RUN,0.2200,0.0000
1.000,0.1814,-0.0000,-0.0000,0.4134,0,RUN,0.2200,0.0000
1.100,0.2038,-0.0000,-0.0000,0.4031,0,RUN,0.2200,0.0000
1.100,0.2038,-0.0000,-0.0000,0.4031,0,RUN,0.2200,0.0000
1.200,0.2263,-0.0000,0.0000,0.3960,0,SLOW,0.2156,0.0000
1.200,0.2263,-0.0000,0.0000,0.3960,0,SLOW,0.2156,0.0000
1.300,0.2484,-0.0000,0.0000,0.3809,0,SLOW,0.1990,0.0000
1.300,0.2484,-0.0000,0.0000,0.3809,0,SLOW,0.1990,0.0000
1.400,0.2694,-0.0000,0.0000,0.3535,0,SLOW,0.1688,0.0000
1.400,0.2694,-0.0000,0.0000,0.3535,0,SLOW,0.1688,0.0000
1.500,0.2878,-0.0000,0.0000,0.3546,0,SLOW,0.1700,0.0000
1.500,0.2878,-0.0000,0.0000,0.3546,0,SLOW,0.1700,0.0000
1.600,0.3051,-0.0000,0.0000,0.3456,0,SLOW,0.1601,0.0000
1.600,0.3051,-0.0000,0.0000,0.3456,0,SLOW,0.1601,0.0000
1.700,0.3218,-0.0000,0.0000,0.3363,0,SLOW,0.1500,0.0000
1.700,0.3218,-0.0000,0.0000,0.3363,0,SLOW,0.1500,0.0000
1.800,0.3379,-0.0000,0.0000,0.3333,0,SLOW,0.1466,0.0000
1.800,0.3379,-0.0000,0.0000,0.3333,0,SLOW,0.1466,0.0000
1.900,0.3529,-0.0000,0.0000,0.3218,0,SLOW,0.1340,-0.0000
1.900,0.3529,-0.0000,0.0000,0.3218,0,SLOW,0.1340,-0.0000
2.000,0.3672,-0.0000,0.0000,0.3160,0,SLOW,0.1276,-0.0000
2.000,0.3672,-0.0000,0.0000,0.3160,0,SLOW,0.1276,-0.0000
2.100,0.3804,-0.0000,0.0000,0.3018,0,SLOW,0.1119,-0.0000
2.100,0.3804,-0.0000,0.0000,0.3018,0,SLOW,0.1119,-0.0000
2.200,0.3927,-0.0000,0.0000,0.3120,0,SLOW,0.1232,-0.0000
2.200,0.3927,-0.0000,0.0000,0.3120,0,SLOW,0.1232,-0.0000
2.300,0.4010,-0.0000,0.0000,0.3130,0,SLOW,0.1243,-0.0000
2.300,0.4010,-0.0000,0.0000,0.3130,0,SLOW,0.1243,-0.0000
2.400,0.4136,-0.0000,0.0000,0.3003,0,SLOW,0.1103,-0.0000
2.400,0.4136,-0.0000,0.0000,0.3003,0,SLOW,0.1103,-0.0000
2.500,0.4256,-0.0000,0.0000,0.3156,0,SLOW,0.1271,-0.0000
2.500,0.4256,-0.0000,0.0000,0.3156,0,SLOW,0.1271,-0.0000
2.600,0.4383,-0.0000,0.0000,0.3290,0,SLOW,0.1419,0.0000
2.600,0.4383,-0.0000,0.0000,0.3290,0,SLOW,0.1419,0.0000
2.700,0.4526,-0.0000,0.0000,0.3046,0,SLOW,0.1150,0.0000
2.700,0.4526,-0.0000,0.0000,0.3046,0,SLOW,0.1150,0.0000
2.800,0.4655,-0.0000,0.0000,0.3164,0,SLOW,0.1281,-0.0000
2.800,0.4655,-0.0000,0.0000,0.3164,0,SLOW,0.1281,-0.0000
2.900,0.4785,-0.0000,0.0000,0.3489,0,SLOW,0.1638,0.0000
2.900,0.4785,-0.0000,0.0000,0.3489,0,SLOW,0.1638,0.0000
3.000,0.4942,-0.0000,0.0000,0.6532,0,RUN,0.2200,0.0000
3.000,0.4942,-0.0000,0.0000,0.6532,0,RUN,0.2200,0.0000
3.100,0.5142,-0.0000,-0.0000,1.4527,0,RUN,0.2200,0.0000
3.100,0.5142,-0.0000,-0.0000,1.4527,0,RUN,0.2200,0.0000
