phase,seq,flag,min_mm,local_v,local_w,edge_v,edge_w,t_send_s,rtt_ms,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,ok
paced,1,0,287,220,0,150,511,0.000129,,,,,,,,,0
paced,2,0,214,220,0,150,-776,0.215100,,,,,,,,,0
paced,3,0,270,220,0,150,209,0.418040,,,,,,,,,0
paced,4,0,610,220,0,150,114,0.619611,,,,,,,,,0
paced,5,0,538,220,0,150,1410,0.823868,,,,,,,,,0
paced,6,0,364,220,0,150,-1436,1.027107,,,,,,,,,0
paced,7,0,649,220,0,150,-1704,1.228111,,,,,,,,,0
paced,8,0,549,220,0,150,-48,1.430629,,,,,,,,,0
paced,9,0,772,220,0,150,1302,1.632167,2.870,150,1302,0,0,0,2,3,1
paced,10,0,152,220,0,150,1030,1.635106,,,,,,,,,0
paced,11,0,606,220,0,150,-730,1.849720,,,,,,,,,0
paced,12,0,384,220,0,150,601,2.053715,,,,,,,,,0
paced,13,0,254,220,0,150,-520,2.257415,,,,,,,,,0
paced,14,0,181,220,0,150,-1729,2.473473,,,,,,,,,0
paced,15,0,176,220,0,150,840,2.675749,,,,,,,,,0
paced,16,0,704,220,0,150,-1783,2.878264,2.730,150,-1783,0,0,0,2,10,1
paced,17,0,540,220,0,150,991,2.881055,,,,,,,,,0
paced,18,0,371,220,0,150,-92,3.096285,2.872,150,-92,0,1,0,2,10,1
paced,19,0,179,220,0,150,341,3.099212,,,,,,,,,0
paced,20,0,377,220,0,150,1308,3.299977,,,,,,,,,0
paced,21,0,598,220,0,150,210,3.502497,,,,,,,,,0
paced,22,0,716,220,0,150,-866,3.706221,1.949,150,-866,0,0,0,2,10,1
paced,23,0,503,220,0,150,-875,3.708198,,,,,,,,,0
paced,24,0,374,220,0,150,1296,3.924085,2.537,150,1296,0,1,0,2,10,1
paced,25,0,620,220,0,150,-634,3.926693,,,,,,,,,0
paced,26,0,172,220,0,150,-116,4.140076,,,,,,,,,0
paced,27,0,719,220,0,150,810,4.341466,,,,,,,,,0
paced,28,0,252,220,0,150,-1059,4.543756,,,,,,,,,0
paced,29,0,794,220,0,150,1144,4.748352,2.558,150,1144,0,0,0,2,10,1
paced,30,0,453,220,0,150,-1325,4.750993,,,,,,,,,0
paced,31,0,490,220,0,150,1135,4.966857,,,,,,,,,0
paced,32,0,662,220,0,150,-92,5.170504,,,,,,,,,0
paced,33,0,669,220,0,150,1579,5.373197,,,,,,,,,0
paced,34,0,344,220,0,150,-578,5.576234,2.299,150,-578,0,1,0,2,10,1
paced,35,0,440,220,0,150,586,5.578594,,,,,,,,,0
paced,36,0,661,220,0,150,1646,5.793868,,,,,,,,,0
paced,37,0,667,220,0,150,-209,5.997432,2.072,150,-209,0,0,0,2,10,1
paced,38,0,753,220,0,150,1675,5.999544,,,,,,,,,0
paced,39,0,185,220,0,150,147,6.201136,,,,,,,,,0
paced,40,0,398,220,0,150,1226,6.404072,2.440,150,1226,0,1,0,2,10,1
paced,41,0,563,220,0,150,-123,6.406562,,,,,,,,,0
paced,42,0,327,220,0,150,-317,6.621157,3.047,150,-317,0,1,0,2,10,1
paced,43,0,711,220,0,150,1795,6.624294,,,,,,,,,0
paced,44,0,533,220,0,150,-1466,6.837980,2.932,150,-1466,0,0,0,2,10,1
paced,45,0,599,220,0,150,898,6.840997,,,,,,,,,0
paced,46,0,670,220,0,150,-1378,7.056670,,,,,,,,,0
paced,47,0,317,220,0,150,313,7.259254,2.826,150,313,0,1,0,2,10,1
paced,48,0,552,220,0,150,-303,7.262153,2.825,150,-303,0,0,0,2,10,1
paced,49,0,651,220,0,150,1181,7.265056,,,,,,,,,0
