seq,t_send_ns,t_recv_ns,rtt_us
1,22102426505435,22102434814433,8308
2,22102476600536,22102484231161,7630
3,22102526671933,22102531346178,4674
4,22102576664051,22102584904118,8240
5,22102626667465,22102633746444,7078
6,22102676676484,22102683203890,6527
7,22102726644863,22102732692510,6047
8,22102776633664,22102784226625,7592
9,22102826655490,22102833986324,7330
10,22102877259241,22102884941959,7682
11,22102926823570,22102936231318,9407
12,22102976694826,22102984751988,8057
13,22103026606869,22103033594532,6987
14,22103076806592,22103084586317,7779
15,22103126961176,22103135903257,8942
16,22103176876884,22103184526700,7649
17,22103226899721,22103232087657,5187
18,22103276755858,22103284831692,8075
19,22103326984810,22103335439814,8455
20,22103376718530,22103384503273,7784
21,22103426955993,22103434849070,7893
22,22103476692573,22103484725151,8032
23,22103526756026,22103531653897,4897
24,22103576749375,22103585510296,8760
25,22103626676153,22103660874180,34198
26,22103676687886,22103681522277,4834
27,22103726774180,22103745675211,18901
28,22103776643837,22103803748781,27104
29,22103827181190,22103834458357,7277
30,22103876823466,22103905860878,29037
31,22103926946032,22103932301430,5355
32,22103976684290,22104002585098,25900
33,22104026677331,22104033908056,7230
34,22104076747872,22104081687232,4939
35,22104126818343,22104172767256,45948
36,22104176724749,22104181238905,4514
37,22104226688685,22104252065194,25376
38,22104276901962,22104283679355,6777
39,22104327080167,22104334933669,7853
40,22104376847409,22104385155908,8308
41,22104426974946,22104432056479,5081
42,22104476777981,22104484030588,7252
43,22104526647438,22104533685054,7037
44,22104576814373,22104584804413,7990
45,22104626676200,22104633887694,7211
46,22104676689392,22104687328907,10639
47,22104726690315,22104733581673,6891
48,22104776694497,22104783530582,6836
49,22104826652198,22104833225169,6572
50,22104876681976,22104883532451,6850
51,22104926676633,22104933714837,7038
52,22104976666555,22104992266790,15600
53,22105026712806,22105052168851,25456
54,22105076701625,22105081581670,4880
55,22105126659636,22105133637003,6977
56,22105176695535,22105181421802,4726
57,22105226663058,22105233835526,7172
58,22105276656053,22105297045808,20389
59,22105326669162,22105333941322,7272
60,22105376646456,22105387770784,11124
61,22105426743707,22105443302662,16558
62,22105476687128,22105484811159,8124
63,22105526718368,22105544687754,17969
64,22105576707223,22105584312657,7605
65,22105627090662,22105635181138,8090
66,22105676705481,22105709261424,32555
67,22105726664164,22105730537649,3873
68,22105776666437,22105783368458,6702
69,22105826647400,22105851561360,24913
70,22105876664880,22105880947794,4282
71,22105926654333,22105957788692,31134
72,22105976597089,22105981155083,4557
73,22106026653734,22106053716292,27062
74,22106076696561,22106081639558,4942
75,22106126693712,22106133848495,7154
76,22106176634318,22106184415389,7781
77,22106226680565,22106233678469,6997
78,22106276643817,22106323048576,46404
79,22106326667120,22106331285310,4618
80,22106376643787,22106391290266,14646
81,22106426759269,22106461062655,34303
82,22106477220442,22106481527555,4307
83,22106527138566,22106535070587,7932
84,22106577261900,22106598301038,21039
85,22106626645502,22106666968099,40322
86,22106676631422,22106681333159,4701
87,22106726653090,22106734936083,8282
88,22106776650051,22106783758526,7108
89,22106826806799,22106833265919,6459
90,22106876661183,22106883900454,7239
91,22106926685780,22106937687302,11001
92,22106976715848,22107005799222,29083
93,22107026670039,22107068381174,41711
94,22107076626501,22107084098239,7471
95,22107126717033,22107134333672,7616
96,22107176665513,22107213830225,37164
97,22107226643605,22107231028489,4384
98,22107276668990,22107283965991,7297
99,22107326676088,22107348835070,22158
100,22107376670309,22107380555855,3885
101,22107426650553,22107433750750,7100
102,22107477284630,22107485792389,8507
103,22107526656211,22107552592642,25936
104,22107576773251,22107620455368,43682
105,22107626659726,22107631520022,4860
106,22107676704274,22107689019164,12314
107,22107726719263,22107734081559,7362
108,22107776694195,22107820870481,44176
