step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790085518479165952,0.1,2,0,260,0,0.02,0.02,0.02,0.0,2,,,,,0,,0,,,,,,,,,0,0,
2,1790085518579165952,0.2,2,0,260,0,0.02,0.02,0.02,0.0,2,,,,,0,,0,,,,,,,,,0,0,
3,1790085518679165952,0.3,3,1,292,92,104.474,208.927,208.927,104.454,2,,,,,0,3.1739,0,,,,,,,,,0,0,
4,1790085518779165952,0.4,3,1,292,92,104.474,208.927,208.927,104.454,2,,,,,0,3.1739,0,,,,,,,,,0,0,
5,1790085518879165952,0.5,3,1,292,92,104.474,208.927,208.927,104.454,2,,,,,0,3.1739,0,,,,,,,,,0,0,
6,1790085518979165952,0.6,3,1,292,92,104.474,208.927,208.927,104.454,2,,,,,0,3.1739,0,,,,,,,,,0,0,
7,1790085519079165952,0.7,3,1,292,92,104.474,208.927,208.927,104.454,2,,,,,0,3.1739,0,,,,,,,,,0,0,
8,1790085519179165952,0.8,4,1,404,92,208.927,554.934,554.934,184.971,2,,,,,0,4.3913,0,,,,,,,,,0,0,
9,1790085519279165952,0.9,4,1,404,92,208.927,554.934,554.934,184.971,2,,,,,0,4.3913,0,,,,,,,,,0,0,
10,1790085519379165952,1.0,4,1,404,92,208.927,554.934,554.934,184.971,2,,,,,0,4.3913,0,,,,,,,,,0,0,
11,1790085519479165952,1.1,2,1,144,92,554.934,554.934,554.934,0.0,1,,,,,0,1.5652,0,,,,,,,,,0,0,
12,1790085519579165952,1.2,2,1,144,92,554.934,554.934,554.934,0.0,1,,,,,0,1.5652,0,,,,,,,,,0,0,
13,1790085519679165952,1.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790085519779165952,1.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790085519879165952,1.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790085519979165952,1.6,2,0,224,0,752.191,752.191,752.191,0.0,1,,,,,0,,0,,,,,,,,,0,0,
17,1790085520079165952,1.7,2,0,224,0,752.191,752.191,752.191,0.0,1,,,,,0,,0,,,,,,,,,0,0,
18,1790085520179165952,1.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790085520279165952,1.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790085520379165952,2.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790085520479165952,2.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790085520579165952,2.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790085520679165952,2.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790085520779165952,2.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790085520879165952,2.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790085520979165952,2.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790085521079165952,2.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790085521179165952,2.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790085521279165952,2.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790085521379165952,3.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790085521479165952,3.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790085521579165952,3.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790085521679165952,3.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790085521779165952,3.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
35,1790085521879165952,3.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
36,1790085521979165952,3.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790085522079165952,3.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790085522179165952,3.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790085522279165952,3.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790085522379165952,4.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790085522479165952,4.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
42,1790085522579165952,4.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
43,1790085522679165952,4.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
44,1790085522779165952,4.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790085522879165952,4.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
46,1790085522979165952,4.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
47,1790085523079165952,4.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
48,1790085523179165952,4.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
49,1790085523279165952,4.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
50,1790085523379165952,5.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
51,1790085523479165952,5.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
52,1790085523579165952,5.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
53,1790085523679165952,5.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
54,1790085523779165952,5.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
55,1790085523879165952,5.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
56,1790085523979165952,5.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
57,1790085524079165952,5.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
58,1790085524179165952,5.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
59,1790085524279165952,5.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
60,1790085524379165952,6.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
61,1790085524479165952,6.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
62,1790085524579165952,6.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
63,1790085524679165952,6.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
64,1790085524779165952,6.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
65,1790085524879165952,6.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
66,1790085524979165952,6.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
67,1790085525079165952,6.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
68,1790085525179165952,6.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
69,1790085525279165952,6.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
70,1790085525379165952,7.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
71,1790085525479165952,7.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
72,1790085525579165952,7.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
73,1790085525679165952,7.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
74,1790085525779165952,7.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
75,1790085525879165952,7.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
76,1790085525979165952,7.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
77,1790085526079165952,7.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
78,1790085526179165952,7.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
79,1790085526279165952,7.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
80,1790085526379165952,8.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
81,1790085526479165952,8.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
82,1790085526579165952,8.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
83,1790085526679165952,8.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
84,1790085526779165952,8.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
85,1790085526879165952,8.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
86,1790085526979165952,8.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
87,1790085527079165952,8.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
88,1790085527179165952,8.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
89,1790085527279165952,8.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
90,1790085527379165952,9.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
91,1790085527479165952,9.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
92,1790085527579165952,9.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
93,1790085527679165952,9.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
94,1790085527779165952,9.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
95,1790085527879165952,9.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
96,1790085527979165952,9.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
97,1790085528079165952,9.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
98,1790085528179165952,9.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
99,1790085528279165952,9.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
100,1790085528379165952,10.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
101,1790085528479165952,10.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
102,1790085528579165952,10.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
103,1790085528679165952,10.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
104,1790085528779165952,10.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
105,1790085528879165952,10.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
106,1790085528979165952,10.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
107,1790085529079165952,10.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
108,1790085529179165952,10.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
109,1790085529279165952,10.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
110,1790085529379165952,11.0,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
111,1790085529479165952,11.1,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
112,1790085529579165952,11.2,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
113,1790085529679165952,11.3,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
114,1790085529779165952,11.4,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
115,1790085529879165952,11.5,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
116,1790085529979165952,11.6,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
117,1790085530079165952,11.7,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
118,1790085530179165952,11.8,0,1,0,32,,,,,0,,,,,0,0.0,0,,,,,,,,,0,0,
