fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790085770394003066,1790085770394041177,192.168.60.90:61456,286
2,0,1790085770493992632,1790085770494036002,192.168.60.90:61456,287
3,1,1790085771794032300,1790085771794074652,192.168.60.90:61456,300
4,0,1790085772193969990,1790085772194016156,192.168.60.90:61456,304
5,1,1790085773894000014,1790085773894040347,192.168.60.90:61456,321
6,0,1790085773994061968,1790085773994104708,192.168.60.90:61456,322
7,1,1790085775694031307,1790085775694075844,192.168.60.90:61456,339
8,0,1790085776393974841,1790085776394018119,192.168.60.90:61456,346
9,1,1790085779894079158,1790085779894124584,192.168.60.90:61456,381
10,0,1790085779994069650,1790085779994109520,192.168.60.90:61456,382
11,1,1790085792194011350,1790085792194051461,192.168.60.90:61456,504
12,0,1790085792294014749,1790085792294058397,192.168.60.90:61456,505
13,1,1790085796093995357,1790085796094037153,192.168.60.90:61456,543
14,0,1790085796193966385,1790085796194002552,192.168.60.90:61456,544
15,1,1790085796393967591,1790085796394006442,192.168.60.90:61456,546
16,0,1790085796593985629,1790085796594024481,192.168.60.90:61456,548
17,1,1790085797994078178,1790085797994122400,192.168.60.90:61456,562
18,0,1790085798493996655,1790085798494040933,192.168.60.90:61456,567
19,1,1790085799393996543,1790085799394039561,192.168.60.90:61456,576
20,0,1790085799593964860,1790085799594010452,192.168.60.90:61456,578
21,1,1790085799793979639,1790085799794022361,192.168.60.90:61456,580
22,0,1790085800294037912,1790085800294076189,192.168.60.90:61456,585
23,1,1790085804794971935,1790085804795015731,192.168.60.90:61456,630
