line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,6023059800044,,6023059846192,6023063099754,47.160,0.0000,0.0000,0.0000,0,0.5995,599,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,84,0,0
2,scan,1,0,6023100787076,,6023100926909,6023103442381,47.660,0.0001,-0.0000,0.0000,0,0.5958,595,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,84,0,0
3,scan,2,0,6023150552704,,6023150701989,6023152456537,47.710,0.0001,-0.0000,0.0000,0,0.6024,602,220,0,220,1,1,1,6023100847735,6023109044382,8196,0,0,8196,8196,0,,,,2,220,1,0,0,0,84,0,0
4,scan,3,0,6023200579865,,6023200701871,6023202494832,47.760,0.0012,-0.0000,0.0000,0,0.5948,594,220,0,220,1,1,2,6023150616456,6023158067239,7450,0,0,7450,7823,0,,,,3,220,1,0,0,0,84,0,0
5,scan,4,0,6023250271259,,6023250392655,6023252356847,47.810,0.0035,-0.0000,0.0000,0,0.5902,590,220,0,220,1,1,3,6023200618952,6023208390192,7771,0,0,7450,7806,0,,,,4,220,1,0,0,0,84,0,0
6,scan,5,0,6023300320126,,6023300453597,6023303397286,47.860,0.0070,-0.0000,-0.0000,0,0.5956,595,220,0,220,1,1,4,6023250313998,6023257793527,7479,0,0,7450,7724,0,,,,5,220,1,0,0,0,84,0,0
7,scan,6,0,6023350371770,,6023350552564,6023352561684,47.910,0.0174,-0.0000,-0.0000,0,0.5843,584,220,0,220,1,1,5,6023300367100,6023306807487,6440,0,0,6440,7467,0,,,,6,220,1,0,0,0,84,0,0
8,scan,7,0,6023400578636,,6023400704318,6023402405018,47.960,0.0243,-0.0000,-0.0000,0,0.5567,556,220,0,220,1,1,6,6023350433409,6023358050524,7617,0,0,6440,7492,0,,,,7,220,1,0,0,0,84,0,0
9,scan,8,0,6023450723896,,6023450863897,6023453405907,48.010,0.0393,-0.0000,0.0000,0,0.5541,554,220,0,220,1,1,7,6023400624270,6023408405392,7781,0,0,6440,7533,0,,,,8,220,1,0,0,0,84,0,0
10,scan,9,0,6023500700115,,6023500857781,6023503364725,48.060,0.0467,-0.0000,0.0001,0,0.5488,548,220,0,220,1,1,8,6023450774093,6023458767684,7993,0,0,6440,7591,0,,,,9,220,1,0,0,0,84,0,0
11,scan,10,0,6023550981085,,6023551120604,6023553385053,48.110,0.0617,-0.0000,0.0002,0,0.5363,536,220,0,220,1,1,9,6023500761791,6023508464383,7702,0,0,6440,7603,0,,,,10,220,1,0,0,0,84,0,0
12,scan,11,0,6023600839909,,6023600994002,6023603390877,48.160,0.0692,-0.0000,0.0002,0,0.5388,538,220,0,220,1,1,10,6023551026357,6023558668418,7642,0,0,6440,7607,0,,,,11,220,1,0,0,0,84,0,0
13,scan,12,0,6023650635735,,6023650800965,6023653379729,48.210,0.0841,0.0000,0.0003,0,0.5301,530,220,-1,220,1,1,11,6023600886491,6023608825128,7938,0,0,6440,7637,0,,,,12,220,1,0,0,0,84,0,0
14,scan,13,0,6023701092051,,6023701228284,6023703379437,48.260,0.0916,0.0000,0.0003,0,0.5107,510,220,-1,220,1,1,12,6023650689071,6023657687696,6998,0,0,6440,7584,0,,,,13,220,1,0,0,0,84,0,0
15,scan,14,0,6023750881094,,6023751002904,6023753429702,48.310,0.1066,0.0000,0.0004,0,0.5109,510,220,-1,220,1,1,13,6023701150617,6023707080784,5930,0,0,5930,7457,0,,,,14,220,1,0,0,0,84,0,0
16,scan,15,0,6023800779634,,6023800912205,6023803609833,48.360,0.1140,0.0000,0.0004,0,0.4986,498,220,-1,220,1,1,14,6023750922104,6023758297746,7375,0,0,5930,7451,0,,,,15,220,1,0,0,0,84,0,0
17,scan,16,0,6023850790823,,6023850915514,6023853558547,48.410,0.1290,0.0000,0.0005,0,0.4892,489,220,-1,220,1,1,15,6023800826687,6023808319807,7493,0,0,5930,7454,0,,,,16,220,1,0,0,0,84,0,0
18,scan,17,0,6023900923496,,6023901276832,6023903731539,48.460,0.1365,0.0000,0.0005,0,0.4778,477,220,-1,220,1,1,16,6023850831980,6023858465932,7633,0,0,5930,7465,0,,,,17,220,1,0,0,0,84,0,0
19,scan,18,0,6023950738441,,6023950861646,6023953458240,48.510,0.1514,0.0000,0.0006,0,0.4803,480,220,-1,220,1,1,17,6023900983365,6023908473430,7490,0,0,5930,7466,0,,,,18,220,1,0,0,0,84,0,0
20,scan,19,0,6024001167034,,6024001297878,6024003375960,48.560,0.1589,0.0000,0.0006,0,0.4630,463,220,-1,220,-1,1,18,6023950779814,6023955502661,4722,0,0,4722,7314,0,,,,19,220,-1,0,0,0,84,0,0
21,scan,20,0,6024051010078,,6024051150996,6024053510863,48.610,0.1739,0.0000,0.0007,0,0.4632,463,220,-1,220,-1,1,19,6024001214119,6024009681170,8467,0,0,4722,7375,0,,,,20,220,-1,0,0,0,84,0,0
22,scan,21,0,6024101495429,,6024101644780,6024103346692,48.660,0.1814,0.0000,0.0006,0,0.4542,454,220,-1,220,-1,1,20,6024051047558,6024058307238,7259,0,0,4722,7369,0,,,,21,220,-1,0,0,0,84,0,0
23,scan,22,0,6024151619853,,6024151761803,6024154397952,48.710,0.1889,0.0001,0.0006,0,0.4431,443,220,-1,220,-1,1,21,6024101541985,6024109920343,8378,0,0,4722,7417,0,,,,22,220,-1,0,0,0,84,0,0
24,scan,23,0,6024201571062,,6024201702475,6024204379775,48.760,0.2038,0.0001,0.0004,0,0.4339,433,220,-1,220,-1,1,22,6024151668688,6024159086063,7417,0,0,4722,7417,0,,,,23,220,-1,0,0,0,84,0,0
25,scan,24,0,6024251514561,,6024251653312,6024253429253,48.810,0.2113,0.0001,0.0004,0,0.4132,413,220,-1,220,1,1,23,6024201618020,6024209239278,7621,0,0,4722,7426,0,,,,24,220,1,0,0,0,84,0,0
26,scan,25,0,6024301530308,,6024301659078,6024304585243,48.860,0.2263,0.0001,0.0004,0,0.4165,416,220,-1,220,1,1,24,6024251565307,6024259197221,7631,0,0,4722,7434,0,,,,25,220,1,0,0,0,84,0,0
27,scan,26,0,6024351474355,,6024351606939,6024353341817,48.910,0.2338,0.0001,0.0004,0,0.4246,424,220,-1,220,1,1,25,6024301574508,6024309710679,8136,0,0,4722,7462,0,,,,26,220,1,0,0,0,84,0,0
28,scan,27,0,6024401335400,,6024401466914,6024403652617,48.960,0.2487,0.0001,0.0005,0,0.4112,411,220,-1,220,1,1,26,6024351519767,6024356088596,4568,0,0,4568,7351,0,,,,27,220,1,0,0,0,84,0,0
29,scan,28,0,6024451527245,,6024451664471,6024453357296,49.010,0.2562,0.0001,0.0006,0,0.4047,404,220,-1,220,-1,1,27,6024401379962,6024408409875,7029,0,0,4568,7339,0,,,,28,220,-1,0,0,0,84,0,0
30,scan,29,0,6024501336184,,6024501484250,6024503407345,49.060,0.2712,0.0001,0.0006,0,0.3979,397,220,-1,220,-1,1,28,6024451575773,6024459251960,7676,0,0,4568,7351,0,,,,29,220,-1,0,1,0,84,0,0
31,scan,30,0,6024551222236,,6024551353478,6024553424193,49.110,0.2786,0.0001,0.0006,0,0.3832,383,220,-1,220,-1,1,29,6024501382254,6024506173793,4791,0,0,4568,7263,0,,,,30,220,-1,0,1,0,84,0,0
32,scan,31,0,6024601385265,,6024601511212,6024603384687,49.160,0.2936,0.0001,0.0004,0,0.3813,381,220,-1,220,-1,1,30,6024551268036,6024558945590,7677,0,0,4568,7277,0,,,,31,220,-1,0,1,0,84,0,0
33,scan,32,0,6024651483071,,6024651612585,6024653372485,49.210,0.3011,0.0001,0.0004,0,0.3799,379,220,-1,220,1,1,31,6024601428058,6024608500180,7072,0,0,4568,7270,0,,,,32,220,1,0,1,0,84,0,0
34,scan,33,0,6024701205604,,6024701325580,6024703371122,49.260,0.3160,0.0001,0.0004,0,0.3810,380,220,-1,220,1,1,32,6024651528302,6024659209678,7681,0,0,4568,7283,0,,,,33,220,1,0,1,0,84,0,0
35,scan,34,0,6024751472983,,6024751608514,6024754387485,49.310,0.3235,0.0001,0.0004,0,0.3659,365,220,-1,220,1,1,33,6024701246448,6024708270264,7023,0,0,4568,7275,0,,,,34,220,1,0,1,0,84,0,0
36,scan,35,0,6024801870051,,6024801992636,6024804324262,49.360,0.3384,0.0001,0.0005,0,0.3644,364,220,-1,220,1,1,34,6024751519559,6024759071755,7552,0,0,4568,7283,0,,,,35,220,1,0,1,0,84,0,0
37,scan,36,0,6024851819418,,6024851958125,6024854473453,49.410,0.3459,0.0001,0.0006,0,0.3607,360,220,-1,220,-1,1,35,6024801910120,6024809257748,7347,0,0,4568,7285,0,,,,36,220,-1,0,1,0,84,0,0
38,scan,37,0,6024901869001,,6024902015179,6024904547233,49.460,0.3609,0.0001,0.0006,0,0.3471,347,220,-2,220,-1,1,36,6024851868693,6024859935214,8066,0,0,4568,7307,0,,,,37,220,-1,0,1,0,84,0,0
39,scan,38,0,6024952111132,,6024952242587,6024954505452,49.510,0.3684,0.0001,0.0006,0,0.3696,369,220,-1,220,-1,1,37,6024901907661,6024909726806,7819,0,0,4568,7321,0,,,,38,220,-1,0,1,0,84,0,0
40,scan,39,0,6025001921534,,6025002063404,6025004474142,49.560,0.3758,0.0001,0.0005,0,0.3727,372,220,-1,220,-1,1,38,6024952158470,6024959920222,7761,0,0,4568,7332,0,,,,39,220,-1,0,1,0,84,0,0
41,scan,40,0,6025052637140,,6025052794482,6025055590954,49.610,0.3908,0.0002,0.0004,0,0.3494,349,220,-1,220,-1,1,39,6025001971020,6025011007339,9036,0,0,4568,7376,0,,,,40,220,-1,0,1,0,84,0,0
42,scan,41,0,6025102802504,,6025102946174,6025105416517,49.660,0.3983,0.0002,0.0004,0,0.3724,372,220,-1,220,1,1,40,6025052683718,6025060250553,7566,0,0,4568,7381,0,,,,41,220,1,0,1,0,84,0,0
43,scan,42,0,6025152458535,,6025152597455,6025155468826,49.710,0.4132,0.0002,0.0003,0,0.3884,388,220,-1,220,1,1,41,6025102852934,6025110402051,7549,0,0,4568,7364,0,,,,42,220,1,0,1,0,84,0,0
44,scan,43,0,6025202432887,,6025202579315,6025204351494,49.760,0.4207,0.0002,0.0003,0,0.3988,398,220,-1,220,1,1,42,6025152504962,6025160577483,8072,0,0,4568,7380,0,,,,43,220,1,0,1,0,84,0,0
45,scan,44,0,6025252229925,,6025252373639,6025254464486,49.810,0.4357,0.0002,0.0004,0,0.3997,399,220,-1,220,1,1,43,6025202484073,6025210026003,7541,0,0,4568,7374,0,,,,44,220,1,0,1,0,84,0,0
46,scan,45,0,6025302419776,,6025302557723,6025305352568,49.860,0.4432,0.0002,0.0005,0,0.6406,640,220,-1,220,1,1,44,6025252279176,6025259673843,7394,0,0,4568,7372,0,,,,45,220,1,0,0,0,84,0,0
47,scan,46,0,6025352201393,,6025352334051,6025354412559,49.910,0.4581,0.0002,0.0006,0,1.5006,1500,220,-2,220,1,1,45,6025302466621,6025310558418,8091,0,0,4568,7413,0,,,,46,220,1,0,0,0,84,0,0
48,scan,47,0,6025402299877,,6025402435333,6025404368245,49.960,0.4656,0.0002,0.0006,0,1.5045,1504,220,-2,220,0,1,46,6025352246118,6025359725988,7479,0,0,4568,7410,0,,,,47,220,0,0,0,0,84,0,0
49,scan,48,0,6025452400097,,6025452531518,6025454330859,50.010,0.4806,0.0002,0.0006,0,1.4846,1484,220,-2,220,0,1,47,6025402347532,6025409791543,7444,0,0,4568,7401,0,,,,48,220,0,0,0,0,84,0,0
50,scan,49,0,6025502543255,,6025502677104,6025505526634,50.060,0.4881,0.0002,0.0006,0,1.4785,1478,220,-2,220,0,1,48,6025452442298,6025460201525,7759,0,0,4568,7396,0,,,,49,220,0,0,0,0,84,0,0
51,scan,50,0,6025552316860,,6025552456506,6025554308649,50.110,0.5030,0.0002,0.0006,0,1.4638,1463,220,-2,220,0,1,49,6025502590744,6025510323815,7733,0,0,4568,7396,0,,,,50,220,0,0,0,0,84,0,0
52,scan,51,0,6025602589615,,6025602739533,6025605345104,50.160,0.5105,0.0002,0.0006,0,1.4562,1456,220,-2,220,0,1,50,6025552363947,6025560219843,7855,0,0,4568,7402,0,,,,51,220,0,0,0,0,84,0,0
53,scan,52,0,6025652407456,,6025652532674,6025654336841,50.210,0.5254,0.0002,0.0006,0,1.4413,1441,220,-2,220,0,1,51,6025602642860,6025610779587,8136,0,0,4568,7407,0,,,,52,220,0,0,0,0,84,0,0
54,scan,53,0,6025702470545,,6025702603784,6025705312260,50.260,0.5329,0.0002,0.0006,0,1.4246,1424,220,-2,220,0,1,52,6025652449770,6025659980280,7530,0,0,4568,7420,0,,,,53,220,0,0,0,0,84,0,0
55,scan,54,0,6025752951795,,6025753165021,6025755403932,50.310,0.5479,0.0002,0.0006,0,1.4221,1422,220,-2,220,0,1,53,6025702517558,6025710412980,7895,0,0,4568,7469,0,,,,54,220,0,0,0,0,84,0,0
56,scan,55,0,6025802860678,,6025802993413,6025805371977,50.360,0.5554,0.0002,0.0006,0,1.4153,1415,220,-2,220,0,1,54,6025753017071,6025759764368,6747,0,0,4568,7453,0,,,,55,220,0,0,0,0,84,0,0
