fseq,degrade,t_det_ns,t_send_ns,peer,step
1,1,1790087938436487062,1790087938436533747,192.168.60.90:57277,277
2,0,1790087939036456105,1790087939036500197,192.168.60.90:57277,283
3,1,1790087944136474437,1790087944136521973,192.168.60.90:57277,334
4,0,1790087945236445048,1790087945236488011,192.168.60.90:57277,345
5,1,1790087952536462696,1790087952536504695,192.168.60.90:57277,418
6,0,1790087952936478384,1790087952936520680,192.168.60.90:57277,422
7,1,1790087961736455147,1790087961736497443,192.168.60.90:57277,510
8,0,1790087961836493157,1790087961836531804,192.168.60.90:57277,511
9,1,1790087965736430404,1790087965736479219,192.168.60.90:57277,550
10,0,1790087966037865147,1790087966037915128,192.168.60.90:57277,553
