step,t_ns,elapsed_s,n_up,n_down,bytes_up,bytes_down,iat_med_up_ms,iat_p90_up_ms,iat_max_up_ms,iat_mad_up_ms,burst_up,iat_med_down_ms,iat_p90_down_ms,iat_max_down_ms,iat_mad_down_ms,burst_down,updown_ratio,pair_n,pair_med_ms,pair_min_ms,pair_max_ms,q_up_ms,q_down_ms,q_pair_ms,q_hat_ms,q_min_ms,baseline_done,degraded,t_det_meta_ns
1,1790098562695654912,0.1,2,0,260,0,0.022,0.022,0.022,0.0,2,,,,,0,,0,,,,,,,,,0,0,
2,1790098562795654912,0.2,2,0,260,0,0.022,0.022,0.022,0.0,2,,,,,0,,0,,,,,,,,,0,0,
3,1790098562895654912,0.3,3,1,292,92,104.627,209.232,209.232,104.605,2,,,,,0,3.1739,0,,,,,,,,,0,0,
4,1790098562995654912,0.4,3,1,292,92,104.627,209.232,209.232,104.605,2,,,,,0,3.1739,0,,,,,,,,,0,0,
5,1790098563095654912,0.5,3,1,292,92,104.627,209.232,209.232,104.605,2,,,,,0,3.1739,0,,,,,,,,,0,0,
6,1790098563195654912,0.6,3,1,292,92,104.627,209.232,209.232,104.605,2,,,,,0,3.1739,0,,,,,,,,,0,0,
7,1790098563295654912,0.7,3,1,292,92,104.627,209.232,209.232,104.605,2,,,,,0,3.1739,0,,,,,,,,,0,0,
8,1790098563395654912,0.8,4,1,404,92,209.232,539.888,539.888,179.955,2,,,,,0,4.3913,0,,,,,,,,,0,0,
9,1790098563495654912,0.9,4,1,404,92,209.232,539.888,539.888,179.955,2,,,,,0,4.3913,0,,,,,,,,,0,0,
10,1790098563595654912,1.0,4,1,404,92,209.232,539.888,539.888,179.955,2,,,,,0,4.3913,0,,,,,,,,,0,0,
11,1790098563695654912,1.1,2,1,144,92,539.888,539.888,539.888,0.0,1,,,,,0,1.5652,0,,,,,,,,,0,0,
12,1790098563795654912,1.2,2,1,144,92,539.888,539.888,539.888,0.0,1,,,,,0,1.5652,0,,,,,,,,,0,0,
13,1790098563895654912,1.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
14,1790098563995654912,1.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
15,1790098564095654912,1.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
16,1790098564195654912,1.6,2,0,224,0,766.727,766.727,766.727,0.0,1,,,,,0,,0,,,,,,,,,0,0,
17,1790098564295654912,1.7,2,0,224,0,766.727,766.727,766.727,0.0,1,,,,,0,,0,,,,,,,,,0,0,
18,1790098564395654912,1.8,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
19,1790098564495654912,1.9,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
20,1790098564595654912,2.0,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
21,1790098564695654912,2.1,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
22,1790098564795654912,2.2,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
23,1790098564895654912,2.3,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
24,1790098564995654912,2.4,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
25,1790098565095654912,2.5,1,0,112,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
26,1790098565195654912,2.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
27,1790098565295654912,2.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
28,1790098565395654912,2.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
29,1790098565495654912,2.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
30,1790098565595654912,3.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
31,1790098565695654912,3.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
32,1790098565795654912,3.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
33,1790098565895654912,3.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
34,1790098565995654912,3.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
35,1790098566095654912,3.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
36,1790098566195654912,3.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
37,1790098566295654912,3.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
38,1790098566395654912,3.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
39,1790098566495654912,3.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
40,1790098566595654912,4.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
41,1790098566695654912,4.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
42,1790098566795654912,4.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
43,1790098566895654912,4.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
44,1790098566995654912,4.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
45,1790098567095654912,4.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
46,1790098567195654912,4.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
47,1790098567295654912,4.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
48,1790098567395654912,4.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
49,1790098567495654912,4.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
50,1790098567595654912,5.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
51,1790098567695654912,5.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
52,1790098567795654912,5.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
53,1790098567895654912,5.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
54,1790098567995654912,5.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
55,1790098568095654912,5.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
56,1790098568195654912,5.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
57,1790098568295654912,5.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
58,1790098568395654912,5.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
59,1790098568495654912,5.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
60,1790098568595654912,6.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
61,1790098568695654912,6.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
62,1790098568795654912,6.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
63,1790098568895654912,6.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
64,1790098568995654912,6.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
65,1790098569095654912,6.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
66,1790098569195654912,6.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
67,1790098569295654912,6.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
68,1790098569395654912,6.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
69,1790098569495654912,6.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
70,1790098569595654912,7.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
71,1790098569695654912,7.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
72,1790098569795654912,7.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
73,1790098569895654912,7.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
74,1790098569995654912,7.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
75,1790098570095654912,7.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
76,1790098570195654912,7.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
77,1790098570295654912,7.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
78,1790098570395654912,7.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
79,1790098570495654912,7.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
80,1790098570595654912,8.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
81,1790098570695654912,8.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
82,1790098570795654912,8.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
83,1790098570895654912,8.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
84,1790098570995654912,8.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
85,1790098571095654912,8.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
86,1790098571195654912,8.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
87,1790098571295654912,8.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
88,1790098571395654912,8.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
89,1790098571495654912,8.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
90,1790098571595654912,9.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
91,1790098571695654912,9.1,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
92,1790098571795654912,9.2,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
93,1790098571895654912,9.3,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
94,1790098571995654912,9.4,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
95,1790098572095654912,9.5,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
96,1790098572195654912,9.6,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
97,1790098572295654912,9.7,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
98,1790098572395654912,9.8,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
99,1790098572495654912,9.9,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
100,1790098572595654912,10.0,0,0,0,0,,,,,0,,,,,0,,0,,,,,,,,,0,0,
