line,kind,seq,flag,t_scan_rx_ns,t_flag_rx_ns,t_uart_tx_ns,t_c_rx_ns,sim_time,x,y,yaw,wp_i,min_range,min_mm,local_v,local_w,edge_v,edge_w,edge_ok,edge_seq_used,t_send_ns,t_recv_ns,rtt_us,held,deadline_miss,rtt_min_us,rtt_win_us,rtt_degraded,t_det_rtt_ns,flag_seq,t_det_meta_ns,c_seq,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,lost
1,settle,0,0,18038943688541,,18038943735060,18038946442312,36.858,0.0000,0.0000,0.0000,0,0.5908,590,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,25,36,0,0
2,scan,1,0,18038963113369,,18038963243278,18038965296897,37.358,0.0001,-0.0000,0.0000,0,0.6048,604,220,0,0,0,0,,,,,1,1,,,0,,,,1,0,0,0,0,0,36,0,0
3,scan,2,0,18039013527540,,18039013678637,18039015343470,37.408,0.0001,-0.0000,0.0000,0,0.5986,598,220,0,220,1,1,1,18038963168688,18038998310508,35141,0,0,35141,35141,0,,,,2,220,1,0,0,0,36,0,0
4,scan,3,0,18039063126773,,18039063248090,18039065253112,37.458,0.0012,-0.0000,0.0000,0,0.5896,589,220,0,220,1,1,2,18039013582594,18039050903949,37321,0,0,35141,36231,0,,,,3,220,1,0,0,0,36,0,0
5,scan,4,0,18039112930237,,18039113044244,18039115208628,37.508,0.0035,-0.0000,0.0000,0,0.5882,588,220,0,220,1,1,3,18039063170697,18039100690409,37519,0,0,35141,36660,0,,,,4,220,1,0,0,0,36,0,0
6,scan,5,0,18039162995109,,18039163116836,18039165332435,37.558,0.0116,-0.0000,-0.0000,0,0.5896,589,220,0,220,1,1,4,18039112971947,18039149977186,37005,0,0,35141,36746,0,,,,5,220,1,0,0,0,36,0,0
7,scan,6,0,18039213520831,,18039213634538,18039215426393,37.608,0.0174,-0.0000,-0.0000,0,0.5737,573,220,0,220,1,1,5,18039163036023,18039200649369,37613,0,0,35141,36920,0,,,,6,220,1,0,0,0,36,0,0
8,scan,7,0,18039263454931,,18039263571932,18039265439482,37.658,0.0318,-0.0000,0.0000,0,0.5836,583,220,0,220,1,1,6,18039213562380,18039251288909,37726,0,0,35141,37054,0,,,,7,220,1,0,0,0,36,0,0
9,scan,8,0,18039313970890,,18039314124199,18039316455788,37.708,0.0393,-0.0000,0.0000,0,0.5503,550,220,0,220,1,1,7,18039263494932,18039301179765,37684,0,0,35141,37144,0,,,,8,220,1,0,0,0,36,0,0
10,scan,9,0,18039363873035,,18039363988823,18039365493810,37.758,0.0542,-0.0000,0.0001,0,0.5591,559,220,0,220,1,1,8,18039314025793,18039351357283,37331,0,0,35141,37168,0,,,,9,220,1,0,0,0,36,0,0
11,scan,10,0,18039413744011,,18039413860850,18039415344539,37.808,0.0617,-0.0000,0.0002,0,0.5328,532,220,0,220,1,1,9,18039363913532,18039401951802,38038,0,0,35141,37264,0,,,,10,220,1,0,0,0,36,0,0
12,scan,11,0,18039463695428,,18039463834344,18039465651907,37.858,0.0692,-0.0000,0.0002,0,0.5261,526,220,0,220,1,1,10,18039413785609,18039451390706,37605,0,0,35141,37298,0,,,,11,220,1,0,0,0,36,0,0
13,scan,12,0,18039514636966,,18039514758253,18039516377919,37.908,0.0841,0.0000,0.0003,0,0.5241,524,220,-1,220,1,1,11,18039463739112,18039501340862,37601,0,0,35141,37326,0,,,,12,220,1,0,0,0,36,0,0
14,scan,13,0,18039564446890,,18039564562168,18039566339181,37.958,0.0916,0.0000,0.0003,0,0.5230,522,220,-1,220,1,1,12,18039514681739,18039552534304,37852,0,0,35141,37370,0,,,,13,220,1,0,0,0,36,0,0
15,scan,14,0,18039614089998,,18039614213935,18039616293041,38.008,0.1066,0.0000,0.0004,0,0.5011,501,220,-1,220,1,1,13,18039564488328,18039601731354,37243,0,0,35141,37360,0,,,,14,220,1,0,0,0,36,0,0
16,scan,15,0,18039664105050,,18039664234277,18039666244674,38.058,0.1140,0.0000,0.0004,0,0.4984,498,220,-1,220,1,1,14,18039614132592,18039651549434,37416,0,0,35141,37364,0,,,,15,220,1,0,0,0,36,0,0
17,scan,16,0,18039713988884,,18039714125222,18039716442481,38.108,0.1290,0.0000,0.0005,0,0.4844,484,220,-1,220,1,1,15,18039664149151,18039701829571,37680,0,0,35141,37385,0,,,,16,220,1,0,0,0,36,0,0
18,scan,17,0,18039763833508,,18039763975793,18039766296850,38.158,0.1365,0.0000,0.0005,0,0.4861,486,220,-1,220,1,1,16,18039714034851,18039751600028,37565,0,0,35141,37396,0,,,,17,220,1,0,0,0,36,0,0
19,scan,18,0,18039813914150,,18039814121944,18039816445263,38.208,0.1514,0.0000,0.0006,0,0.4760,476,220,-1,220,1,1,17,18039763884032,18039801479770,37595,0,0,35141,37408,0,,,,18,220,1,0,0,0,36,0,0
20,scan,19,0,18039863747595,,18039863863254,18039865354494,38.258,0.1589,0.0000,0.0006,0,0.4659,465,220,-1,220,-1,1,18,18039813974842,18039851298779,37323,0,0,35141,37403,0,,,,19,220,-1,0,0,0,36,0,0
21,scan,20,0,18039913744081,,18039913885971,18039915324995,38.308,0.1739,0.0000,0.0007,0,0.4632,463,220,-1,220,-1,1,19,18039863789418,18039901241791,37452,0,0,35141,37406,0,,,,20,220,-1,0,0,0,36,0,0
22,scan,21,0,18039963809332,,18039963952392,18039966261264,38.358,0.1814,0.0000,0.0006,0,0.4418,441,220,-1,220,-1,1,20,18039913810071,18039950116201,36306,0,0,35141,37351,0,,,,21,220,-1,0,0,0,36,0,0
23,scan,22,0,18040013666887,,18040013783573,18040015457979,38.408,0.1963,0.0001,0.0005,0,0.4438,443,220,-1,220,-1,1,21,18039963851597,18040001610491,37758,0,0,35141,37370,0,,,,22,220,-1,0,0,0,36,0,0
24,scan,23,0,18040063632676,,18040063755856,18040065301001,38.458,0.2038,0.0001,0.0004,0,0.4294,429,220,-1,220,1,1,22,18040013705601,18040051143196,37437,0,0,35141,37373,0,,,,23,220,1,0,0,0,36,0,0
25,scan,24,0,18040114279423,,18040114398078,18040116348452,38.508,0.2188,0.0001,0.0004,0,0.4248,424,220,-1,220,1,1,23,18040063678600,18040101251457,37572,0,0,35141,37382,0,,,,24,220,1,0,0,0,36,0,0
26,scan,25,0,18040164496501,,18040164613779,18040166292061,38.558,0.2263,0.0001,0.0005,0,0.4125,412,220,-1,220,1,1,24,18040114319909,18040151412870,37092,0,0,35141,37370,0,,,,25,220,1,0,0,0,36,0,0
27,scan,26,0,18040214444331,,18040214558515,18040216461246,38.608,0.2412,0.0001,0.0006,0,0.4056,405,220,-1,220,1,1,25,18040164538475,18040202103357,37564,0,0,35141,37378,0,,,,26,220,1,0,0,0,36,0,0
28,scan,27,0,18040264434499,,18040264556248,18040266708961,38.658,0.2487,0.0001,0.0006,0,0.4081,408,220,-1,220,-1,1,26,18040214480647,18040252090960,37610,0,0,35141,37386,0,,,,27,220,-1,0,0,0,36,0,0
29,scan,28,0,18040314443241,,18040314565705,18040316459335,38.708,0.2562,0.0001,0.0006,0,0.3890,388,220,-1,220,-1,1,27,18040264477842,18040302160149,37682,0,0,35141,37397,0,,,,28,220,-1,0,1,0,36,0,0
30,scan,29,0,18040364704786,,18040364837282,18040366475547,38.758,0.2712,0.0001,0.0006,0,0.3949,394,220,-1,220,-1,1,28,18040314488190,18040351841558,37353,0,0,35141,37396,0,,,,29,220,-1,0,1,0,36,0,0
31,scan,30,0,18040414833201,,18040414952879,18040417173790,38.808,0.2786,0.0001,0.0005,0,0.3913,391,220,-1,220,-1,1,29,18040364746209,18040401904460,37158,0,0,35141,37388,0,,,,30,220,-1,0,1,0,36,0,0
32,scan,31,0,18040464772733,,18040464930416,18040467332257,38.858,0.2936,0.0001,0.0004,0,0.3991,399,220,-1,220,-1,1,30,18040414874607,18040451470984,36596,0,0,35141,37361,0,,,,31,220,-1,0,1,0,36,0,0
33,scan,32,0,18040514746377,,18040514866472,18040516397481,38.908,0.3011,0.0001,0.0004,0,0.3874,387,220,-1,220,1,1,31,18040464842146,18040502182243,37340,0,0,35141,37361,0,,,,32,220,1,0,1,0,36,0,0
34,scan,33,0,18040564870563,,18040564992901,18040567229400,38.958,0.3160,0.0001,0.0004,0,0.3685,368,220,-1,220,1,1,32,18040514789378,18040551767969,36978,0,0,35141,37349,0,,,,33,220,1,0,1,0,36,0,0
35,scan,34,0,18040614816535,,18040614941127,18040616446920,39.008,0.3235,0.0001,0.0004,0,0.3737,373,220,-1,220,1,1,33,18040564912649,18040599685746,34773,0,0,34773,37271,0,,,,34,220,1,0,1,0,36,0,0
36,scan,35,0,18040664659791,,18040664801696,18040667168941,39.058,0.3384,0.0001,0.0005,0,0.3792,379,220,-1,220,1,1,34,18040614861549,18040652691575,37830,0,0,34773,37287,0,,,,35,220,1,0,1,0,36,0,0
37,scan,36,0,18040714936334,,18040715059642,18040717204693,39.108,0.3459,0.0001,0.0006,0,0.3766,376,220,-1,220,-1,1,35,18040664710645,18040702214636,37503,0,0,34773,37293,0,,,,36,220,-1,0,1,0,36,0,0
38,scan,37,0,18040764803737,,18040764928059,18040767264786,39.158,0.3609,0.0001,0.0006,0,0.3762,376,220,-2,220,-1,1,36,18040714978209,18040752564533,37586,0,0,34773,37301,0,,,,37,220,-1,0,1,0,36,0,0
39,scan,38,0,18040815105215,,18040815246467,18040817494161,39.208,0.3684,0.0001,0.0006,0,0.3511,351,220,-1,220,-1,1,37,18040764845201,18040802522606,37677,0,0,34773,37311,0,,,,38,220,-1,0,1,0,36,0,0
40,scan,39,0,18040865426080,,18040865558121,18040867350313,39.258,0.3833,0.0002,0.0004,0,0.3711,371,220,-1,220,-1,1,38,18040815155598,18040852601927,37446,0,0,34773,37315,0,,,,39,220,-1,0,1,0,36,0,0
41,scan,40,0,18040915066504,,18040915192891,18040917417621,39.308,0.3908,0.0002,0.0004,0,0.3621,362,220,-1,220,1,1,39,18040865473531,18040902049190,36575,0,0,34773,37296,0,,,,40,220,1,0,1,0,36,0,0
42,scan,41,0,18040965310911,,18040965427894,18040967369342,39.358,0.4058,0.0002,0.0004,0,0.3605,360,220,-1,220,1,1,40,18040915111035,18040952511494,37400,0,0,34773,37299,0,,,,41,220,1,0,1,0,36,0,0
43,scan,42,0,18041015641617,,18041015769473,18041017394816,39.408,0.4132,0.0002,0.0004,0,0.3760,375,220,-1,220,1,1,41,18040965353813,18040999672033,34318,0,0,34318,37278,0,,,,42,220,1,0,1,0,36,0,0
44,scan,43,0,18041065872286,,18041066070525,18041068340935,39.458,0.4282,0.0002,0.0005,0,0.3811,381,220,-2,220,1,1,42,18041015687198,18041053119173,37431,0,0,34318,37281,0,,,,43,220,1,0,1,0,36,0,0
45,scan,44,0,18041115859858,,18041116107532,18041118198492,39.508,0.4357,0.0002,0.0006,0,0.3974,397,220,-2,220,0,1,43,18041065914559,18041103389229,37474,0,0,34318,37280,0,,,,44,220,0,0,1,0,36,0,0
46,scan,45,0,18041165586477,,18041165707678,18041167793289,39.558,0.4432,0.0002,0.0006,0,0.6356,635,220,-2,220,0,1,44,18041115909019,18041150457815,34548,0,0,34318,37218,0,,,,45,220,0,0,0,0,36,0,0
47,scan,46,0,18041215777748,,18041215909530,18041218224216,39.608,0.4581,0.0002,0.0006,0,1.4993,1499,220,-2,220,0,1,45,18041165628741,18041202202894,36574,0,0,34318,37192,0,,,,46,220,0,0,0,0,36,0,0
48,scan,47,0,18041265539837,,18041265677794,18041267277024,39.658,0.4656,0.0002,0.0006,0,1.4980,1498,220,-2,220,0,1,46,18041215820405,18041253411232,37590,0,0,34318,37189,0,,,,47,220,0,0,0,0,36,0,0
49,scan,48,0,18041315649034,,18041315773549,18041318254472,39.708,0.4806,0.0002,0.0006,0,1.4759,1475,220,-2,220,0,1,47,18041265599231,18041303754072,38154,0,0,34318,37201,0,,,,48,220,0,0,0,0,36,0,0
50,scan,49,0,18041365683984,,18041365807160,18041367361785,39.758,0.4881,0.0002,0.0006,0,1.4681,1468,220,-2,220,0,1,48,18041315693569,18041353405833,37712,0,0,34318,37210,0,,,,49,220,0,0,0,0,36,0,0
51,scan,50,0,18041415773786,,18041415902956,18041417448179,39.808,0.5030,0.0002,0.0006,0,1.4560,1456,220,-2,220,0,1,49,18041365728651,18041402286899,36558,0,0,34318,37173,0,,,,50,220,0,0,0,0,36,0,0
52,scan,51,0,18041465837002,,18041465973881,18041468323748,39.858,0.5105,0.0002,0.0006,0,1.4530,1453,220,-2,220,0,1,50,18041415820458,18041449126969,33306,0,0,33306,37066,0,,,,51,220,0,0,0,0,36,0,0
53,scan,52,0,18041515565864,,18041515688310,18041517307181,39.908,0.5254,0.0002,0.0006,0,1.4416,1441,220,-2,220,0,1,51,18041465884601,18041499831760,33947,0,0,33306,36974,0,,,,52,220,0,0,0,0,36,0,0
54,scan,53,0,18041566450452,,18041566579714,18041568499531,39.958,0.5329,0.0002,0.0006,0,1.4291,1429,220,-2,220,0,1,52,18041515607392,18041549848503,34241,0,0,33306,36884,0,,,,53,220,0,0,0,0,36,0,0
