run_id,stage,date,policy,policy_name,rtt_ms,load,rep,status,result,a_ms,d_ms,b_ms,u_ms,c_ms,g_ms,n_col,n_sw,m_rate,hold_rate,rtt_ms_median,edge_stop_steps,local_steps,duration_s,min_range_m,delta_ms,git,note
1,c3,2026-09-23,1,always_local,10.0,L1,1,valid,GOAL,579.926,864.208,,3.5,,,0,0,0.6475,0.222,336.677,0,973,48.65,0.2656,-54174250.726,07fdcf3,
2,c3,2026-09-23,2,always_edge,10.0,L1,1,valid,GOAL,600.143,885.124,,3.5,,,0,0,0.6507,0.2272,277.008,0,0,47.1,0.2858,-54174251.727,07fdcf3,
3,c3,2026-09-23,3,rtt_window,10.0,L1,1,valid,GOAL,600.189,752.961,,3.5,0.034,,0,1,0.6408,0.2311,212.385,0,594,47.6,0.2567,-54174252.608,07fdcf3,
4,c3,2026-09-23,4,n3_flag,10.0,L1,1,valid,GOAL,980.006,803.543,113.329,3.5,0.033,-293.325,0,3,0.636,0.2286,207.256,0,582,47.25,0.257,-54174253.61,07fdcf3,
5,c3,2026-09-23,2,always_edge,10.0,L1,2,valid,GOAL,1040.3,801.384,,3.5,,,0,0,0.6333,0.2324,144.784,0,0,46.9,0.2909,-54174254.257,07fdcf3,
6,c3,2026-09-23,3,rtt_window,10.0,L1,2,valid,GOAL,740.283,840.638,,3.5,0.034,,0,1,0.6523,0.235,291.322,0,585,47.45,0.2712,-54174255.256,07fdcf3,
7,c3,2026-09-23,4,n3_flag,10.0,L1,2,valid,GOAL,1020.215,798.025,123.51,3.5,0.035,-349.235,0,1,0.6374,0.2135,255.108,0,584,47.3,0.2571,-54174256.047,07fdcf3,
8,c3,2026-09-23,1,always_local,10.0,L1,2,valid,GOAL,679.995,794.394,,3.5,,,0,0,0.6492,0.2809,98.995,0,972,48.6,0.263,-54174256.657,07fdcf3,
9,c3,2026-09-23,3,rtt_window,10.0,L1,3,valid,GOAL,2179.997,802.401,,3.5,0.033,,0,1,0.6381,0.2148,243.15,0,590,47.25,0.2662,-54174257.592,07fdcf3,
10,c3,2026-09-23,4,n3_flag,10.0,L1,3,valid,GOAL,880.394,885.91,104.297,3.5,0.034,-102.315,0,1,0.6389,0.2207,314.066,0,588,47.35,0.2585,-54174258.368,07fdcf3,
11,c3,2026-09-23,1,always_local,10.0,L1,3,valid,GOAL,460.329,884.613,,3.5,,,0,0,0.6471,0.216,336.432,0,972,48.6,0.2675,-54174259.098,07fdcf3,
12,c3,2026-09-23,2,always_edge,10.0,L1,3,valid,GOAL,840.306,871.145,,3.5,,,0,0,0.6328,0.2195,276.607,0,0,46.7,0.285,-54174259.862,07fdcf3,
13,c3,2026-09-23,1,always_local,30.0,L1,1,valid,GOAL,939.681,843.283,,3.5,,,0,0,0.6503,0.1687,360.882,0,978,48.9,0.2626,-54174267.434,07fdcf3,
14,c3,2026-09-23,2,always_edge,30.0,L1,1,valid,GOAL,1059.956,837.229,,3.5,,,0,0,0.6342,0.1583,359.408,0,0,46.75,0.2939,-54174268.412,07fdcf3,
15,c3,2026-09-23,3,rtt_window,30.0,L1,1,valid,GOAL,1154.599,879.855,,3.5,0.033,,0,1,0.6373,0.1686,359.192,0,586,47.15,0.2744,-54174269.201,07fdcf3,
16,c3,2026-09-23,4,n3_flag,30.0,L1,1,valid,GOAL,780.519,933.434,99.277,3.5,0.033,50.105,0,1,0.6367,0.143,363.041,0,586,47.2,0.2697,-54174269.982,07fdcf3,
17,c3,2026-09-23,2,always_edge,30.0,L1,2,valid,GOAL,6639.879,810.255,,3.5,,,0,0,0.7014,0.1743,362.791,0,0,47.05,0.27,-54174270.722,07fdcf3,
18,c3,2026-09-23,3,rtt_window,30.0,L1,2,valid,GOAL,2540.347,866.247,,3.5,0.034,,0,1,0.6381,0.1587,359.75,0,588,47.25,0.2675,-54174271.553,07fdcf3,
19,c3,2026-09-23,4,n3_flag,30.0,L1,2,valid,GOAL,620.147,875.391,69.289,3.5,0.033,182.422,0,1,0.3411,0.072,37.515,0,590,47.2,0.2766,-54174272.651,07fdcf3,
20,c3,2026-09-23,1,always_local,30.0,L1,2,valid,GOAL,860.272,1055.984,,3.5,,,0,0,0.6485,0.147,362.456,0,973,48.65,0.2655,-54174273.295,07fdcf3,
21,c3,2026-09-23,3,rtt_window,30.0,L1,3,valid,GOAL,2420.202,813.023,,3.5,0.034,,0,1,0.6373,0.141,361.43,0,587,47.15,0.2663,-54174274.203,07fdcf3,
22,c3,2026-09-23,4,n3_flag,30.0,L1,3,valid,GOAL,979.953,864.713,122.402,3.5,0.035,-241.177,0,1,0.6392,0.1386,361.124,0,583,47.25,0.2625,-54174274.893,07fdcf3,
23,c3,2026-09-23,1,always_local,30.0,L1,3,valid,GOAL,540.263,853.105,,3.5,,,0,0,0.6506,0.2408,234.369,0,976,48.8,0.2654,-54174275.61,07fdcf3,
24,c3,2026-09-23,2,always_edge,30.0,L1,3,valid,GOAL,1120.24,808.993,,3.5,,,0,0,0.6408,0.1471,359.841,0,0,47.6,0.2881,-54174276.332,07fdcf3,
25,c3,2026-09-23,1,always_local,60.0,L1,1,valid,GOAL,1660.378,982.737,,3.5,,,0,0,1.0,0.2198,367.419,0,978,48.9,0.2717,-54174286.087,07fdcf3,
26,c3,2026-09-23,2,always_edge,60.0,L1,1,valid,GOAL,939.814,949.978,,3.5,,,0,0,1.0,0.1996,365.925,0,0,47.6,0.2952,-54174287.06,07fdcf3,
27,c3,2026-09-23,3,rtt_window,60.0,L1,1,valid,GOAL,640.282,868.858,,3.5,0.034,,0,1,1.0,0.1971,389.904,0,599,47.95,0.2495,-54174287.955,07fdcf3,
28,c3,2026-09-23,4,n3_flag,60.0,L1,1,valid,GOAL,1579.785,838.554,203.5,3.5,0.033,-948.264,0,1,1.0,0.2137,300.975,0,575,47.5,0.2671,-54174288.736,07fdcf3,
29,c3,2026-09-23,2,always_edge,60.0,L1,2,discarded,ABORTED,,,,3.5,,,0,0,1.0,0.0357,67.2,0,0,2.75,0.3652,-54174289.528,07fdcf3,
30,c3,2026-09-23,3,rtt_window,60.0,L1,2,valid,GOAL,2259.963,939.257,,3.5,0.034,,0,1,1.0,0.213,294.211,0,595,47.65,0.2637,-54174291.95,07fdcf3,
31,c3,2026-09-23,4,n3_flag,60.0,L1,2,valid,GOAL,1100.131,962.122,158.721,3.5,0.036,-300.266,0,1,1.0,0.2445,235.704,0,583,47.85,0.2669,-54174292.854,07fdcf3,
32,c3,2026-09-23,1,always_local,60.0,L1,2,valid,GOAL,759.866,893.866,,3.5,,,0,0,1.0,0.2734,392.039,0,973,48.65,0.2506,-54174293.608,07fdcf3,
33,c3,2026-09-23,3,rtt_window,60.0,L1,3,valid,GOAL,1340.251,910.619,,3.5,0.034,,0,1,1.0,0.2236,267.608,0,599,47.85,0.2614,-54174294.166,07fdcf3,
34,c3,2026-09-23,4,n3_flag,60.0,L1,3,valid,GOAL,1112.681,933.802,141.719,3.5,0.034,-324.132,0,3,1.0,0.2276,239.358,0,562,47.45,0.265,-54174294.951,07fdcf3,
35,c3,2026-09-23,1,always_local,60.0,L1,3,valid,GOAL,2240.238,928.278,,3.5,,,0,0,1.0,0.2256,339.543,0,975,48.75,0.2739,-54174295.882,07fdcf3,
36,c3,2026-09-23,2,always_edge,60.0,L1,3,valid,GOAL,780.476,925.252,,3.5,,,0,0,1.0,0.2344,277.884,0,0,48.0,0.2843,-54174296.615,07fdcf3,
37,c3,2026-09-23,1,always_local,100.0,L1,1,valid,GOAL,2220.248,957.007,,3.5,,,0,0,1.0,0.2196,397.971,0,979,48.95,0.265,-54174309.353,07fdcf3,
38,c3,2026-09-23,2,always_edge,100.0,L1,1,valid,GOAL,1223.079,1123.189,,3.5,,,0,0,1.0,0.237,306.986,0,0,48.1,0.2966,-54174310.475,07fdcf3,
39,c3,2026-09-23,3,rtt_window,100.0,L1,1,valid,GOAL,1859.848,1067.619,,3.5,0.034,,0,1,1.0,0.2417,248.896,0,599,48.0,0.2439,-54174311.153,07fdcf3,
40,c3,2026-09-23,4,n3_flag,100.0,L1,1,valid,GOAL,1620.266,1100.987,195.022,3.5,0.034,-717.835,0,1,1.0,0.2369,348.518,0,577,47.7,0.2614,-54174312.035,07fdcf3,
41,c3,2026-09-23,2,always_edge,100.0,L1,2,valid,GOAL,1320.198,1007.401,,3.5,,,0,0,1.0,0.223,333.951,0,0,47.75,0.2858,-54174312.773,07fdcf3,
42,c3,2026-09-23,3,rtt_window,100.0,L1,2,valid,GOAL,-5220.203,829.643,,3.5,0.033,,0,1,1.0,0.3027,241.764,0,612,48.4,0.2673,-54174313.437,07fdcf3,
43,c3,2026-09-23,4,n3_flag,100.0,L1,2,valid,GOAL,2880.02,1053.472,351.931,3.5,0.031,-2182.01,0,1,1.0,0.2111,359.379,0,547,47.6,0.2698,-54174314.494,07fdcf3,
44,c3,2026-09-23,1,always_local,100.0,L1,2,valid,GOAL,759.886,1140.656,,3.5,,,0,0,1.0,0.2224,429.439,0,980,49.0,0.2546,-54174315.234,07fdcf3,
45,c3,2026-09-23,3,rtt_window,100.0,L1,3,valid,GOAL,1159.9,1156.216,,3.5,0.034,,0,1,1.0,0.232,292.935,0,598,48.05,0.2641,-54174315.94,07fdcf3,
46,c3,2026-09-23,4,n3_flag,100.0,L1,3,valid,GOAL,1200.095,1152.421,143.956,3.5,0.034,-195.164,0,1,1.0,0.2319,308.37,0,586,47.65,0.2754,-54174316.928,07fdcf3,
47,c3,2026-09-23,1,always_local,100.0,L1,3,valid,GOAL,1083.086,1161.849,,3.5,,,0,0,1.0,0.2193,397.551,0,976,48.8,0.2613,-54174317.716,07fdcf3,
48,c3,2026-09-23,2,always_edge,100.0,L1,3,valid,GOAL,1559.866,1095.413,,3.5,,,0,0,1.0,0.2411,402.791,0,0,50.6,0.29,-54174318.337,07fdcf3,
49,c3,2026-09-23,1,always_local,200.0,L1,1,valid,GOAL,1480.419,1283.561,,3.5,,,0,0,1.0,0.224,419.07,0,973,48.65,0.2603,-54174345.158,07fdcf3,
50,c3,2026-09-23,2,always_edge,200.0,L1,1,valid,GOAL,1060.028,1334.889,,3.5,,,0,0,1.0,0.2158,541.049,0,0,53.05,0.3079,-54174345.952,07fdcf3,
51,c3,2026-09-23,3,rtt_window,200.0,L1,1,valid,GOAL,1379.909,1323.184,,3.5,0.033,,0,1,1.0,0.2354,399.131,0,606,48.65,0.2677,-54174346.32,07fdcf3,
52,c3,2026-09-23,4,n3_flag,200.0,L1,1,valid,GOAL,2940.375,1377.189,366.505,3.5,0.034,-1933.225,0,1,1.0,0.213,461.637,0,560,48.35,0.2678,-54174347.552,07fdcf3,
53,c3,2026-09-23,2,always_edge,200.0,L1,2,valid,GOAL,1120.202,1432.791,,3.5,,,0,0,1.0,0.2204,541.827,0,0,54.0,0.2801,-54174348.373,07fdcf3,
54,c3,2026-09-23,3,rtt_window,200.0,L1,2,valid,GOAL,1320.224,1216.871,,3.5,0.033,,0,1,1.0,0.2196,482.137,0,614,48.95,0.2676,-54174349.242,07fdcf3,
55,c3,2026-09-23,4,n3_flag,200.0,L1,2,valid,GOAL,1139.745,1320.94,133.643,3.5,0.033,44.019,0,1,1.0,0.221,471.691,0,607,49.1,0.2642,-54174350.032,07fdcf3,
56,c3,2026-09-23,1,always_local,200.0,L1,2,valid,GOAL,-5359.702,1130.436,,3.5,,,0,0,1.0,0.2505,538.577,0,978,48.9,0.2612,-54174350.952,07fdcf3,
57,c3,2026-09-23,3,rtt_window,200.0,L1,3,valid,GOAL,1139.875,1349.519,,3.5,0.035,,0,1,1.0,0.2326,433.327,0,609,48.8,0.2736,-54174351.769,07fdcf3,
58,c3,2026-09-23,4,n3_flag,200.0,L1,3,valid,GOAL,1239.828,1289.55,155.053,3.5,0.033,-108.864,0,3,1.0,0.2559,346.475,0,591,48.85,0.2653,-54174352.576,07fdcf3,
59,c3,2026-09-23,1,always_local,200.0,L1,3,valid,GOAL,1519.746,1199.81,,3.5,,,0,0,1.0,0.227,502.606,0,978,48.9,0.2524,-54174353.31,07fdcf3,
60,c3,2026-09-23,2,always_edge,200.0,L1,3,valid,GOAL,1900.096,1298.199,,3.5,,,0,0,1.0,0.2154,538.422,0,0,50.6,0.2713,-54174354.028,07fdcf3,
61,c3,2026-09-23,3,rtt_window,60.0,L2,1,valid,GOAL,780.391,926.17,,3.5,0.0335,,0,2,1.0,0.0185,67.311,0,71,46.0,0.2682,-54174318.857,07fdcf3,
62,c3,2026-09-23,4,n3_flag,60.0,L2,1,valid,GOAL,1100.151,902.274,133.867,3.5,0.034,-335.278,0,2,1.0,0.0194,67.559,0,36,46.3,0.2717,-54174319.872,07fdcf3,
63,c3,2026-09-23,4,n3_flag,60.0,L2,2,valid,GOAL,1320.202,947.164,159.792,3.5,0.0325,-536.362,0,2,1.0,0.012,67.316,0,29,45.7,0.2662,-54174320.492,07fdcf3,
64,c3,2026-09-23,3,rtt_window,60.0,L2,2,valid,GOAL,1820.219,941.324,,3.5,0.0335,,0,2,1.0,0.0306,67.323,0,141,45.8,0.2607,-54174321.245,07fdcf3,
65,c3,2026-09-23,3,rtt_window,60.0,L2,3,valid,GOAL,780.08,1018.781,,3.5,0.0345,,0,2,1.0,0.0174,67.336,0,69,45.95,0.2667,-54174322.823,07fdcf3,
66,c3,2026-09-23,4,n3_flag,60.0,L2,3,valid,GOAL,1053.238,988.039,125.169,3.5,0.0345,-193.903,0,2,1.0,0.0142,67.217,0,26,45.8,0.2732,-54174323.776,07fdcf3,
67,c3,2026-09-23,2,always_edge,60.0,L1,2,valid,GOAL,2620.24,1015.711,,3.5,,,0,0,1.0,0.2077,336.833,0,0,47.9,0.2959,-54174291.245,07fdcf3,
68,c3,2026-09-23,3,rtt_window,100.0,L1,2,valid,GOAL,2839.798,1139.435,,3.5,0.034,,0,1,1.0,0.2443,262.407,0,600,48.1,0.2565,-54174337.035,07fdcf3,
