run_id,stage,date,policy,policy_name,rtt_ms,load,rep,status,result,a_ms,d_ms,b_ms,u_ms,c_ms,g_ms,n_col,n_sw,m_rate,hold_rate,rtt_ms_median,edge_stop_steps,local_steps,duration_s,min_range_m,delta_ms,git,note
1,c5,2026-09-26,4,n3_flag,10.0,L1,1,valid,GOAL,839.857,797.037,107.42,3.5,0.035,-153.775,0,3,0.634,0.2149,248.721,0,576,47.0,0.2789,-322317312.983,5f8a38c,"C5 V1 prio band 0, np 5 640"
2,c5,2026-09-26,4,n3_flag,10.0,L1,2,valid,GOAL,759.87,828.212,91.996,3.5,0.033,-27.187,0,1,0.64,0.2105,293.107,0,593,47.5,0.2623,-322317313.782,5f8a38c,"C5 V1 prio band 0, np 5 640"
3,c5,2026-09-26,4,n3_flag,10.0,L1,3,valid,GOAL,660.326,880.521,74.79,3.5,0.034,141.871,0,3,0.6388,0.2119,286.597,0,573,47.2,0.2694,-322317314.286,5f8a38c,"C5 V1 prio band 0, np 5 640"
4,c5,2026-09-26,4,n3_flag,60.0,L1,1,valid,GOAL,900.155,768.863,378.986,3.5,0.035,-513.813,0,1,1.0,0.2738,72.683,0,580,47.3,0.2619,-322317316.433,5f8a38c,"C5 V1 flag in prio band 0, np 30 830"
5,c5,2026-09-26,4,n3_flag,60.0,L1,1,valid,GOAL,,,,3.5,,,0,0,1.0,0.0022,67.329,0,0,45.8,0.2871,-322317319.641,5f8a38c,"C5 V1 flag in prio band 0, np 30 830, flag capture"
6,c5,2026-09-26,4,n3_flag,60.0,L1,3,valid,GOAL,900.1,1028.735,117.763,3.5,0.033,7.339,0,1,1.0,0.2532,193.52,0,588,47.4,0.277,-322317323.117,5f8a38c,"C5 V1 prio band 0, np 30 830"
7,c5,2026-09-26,4,n3_flag,200.0,L1,1,valid,GOAL,1800.154,1315.337,226.36,3.5,0.036,-714.713,0,1,1.0,0.2197,447.15,0,583,48.25,0.269,-322317364.054,5f8a38c,"C5 V1 prio band 0, np 100 1350"
8,c5,2026-09-26,4,n3_flag,200.0,L1,2,valid,GOAL,1460.436,1288.74,187.972,3.5,0.034,-363.202,0,1,1.0,0.2608,321.631,0,596,48.5,0.2611,-322317364.733,5f8a38c,"C5 V1 prio band 0, np 100 1350"
9,c5,2026-09-26,4,n3_flag,200.0,L1,3,valid,GOAL,2379.983,1448.28,265.151,3.5,0.034,-1200.388,0,1,1.0,0.2456,363.757,0,576,48.45,0.2611,-322317365.489,5f8a38c,"C5 V1 prio band 0, np 100 1350"
10,c5,2026-09-26,4,n3_flag,60.0,L1,1,valid,GOAL,1420.193,989.079,21.067,3.5,0.033,-455.714,0,1,1.0,0.2244,275.896,0,580,47.45,0.2564,-322317329.912,5f8a38c,"C5 V2 prio band 0 + DSCP CS6, np 30 830 dscp"
11,c5,2026-09-26,4,n3_flag,60.0,L1,2,valid,GOAL,739.83,1015.107,21.937,3.5,0.034,249.806,0,1,1.0,0.2594,173.267,0,605,48.0,0.2542,-322317330.536,5f8a38c,"C5 V2 prio band 0 + DSCP CS6, np 30 830 dscp"
12,c5,2026-09-26,4,n3_flag,60.0,L1,3,valid,GOAL,940.271,1014.597,22.871,3.5,0.034,47.921,0,3,1.0,0.2403,228.504,0,587,47.45,0.2673,-322317331.18,5f8a38c,"C5 V2 prio band 0 + DSCP CS6, np 30 830 dscp"
13,c5,2026-09-26,4,n3_flag,60.0,L1,2,valid,GOAL,,,,3.5,,,0,0,1.0,0.0261,67.337,0,0,46.05,0.2736,-322317324.715,5f8a38c,"C5 V1 prio band 0, np 30 830, rerun of run 5"
14,c5,2026-09-26,4,n3_flag,60.0,L1,2,valid,GOAL,-4099.897,924.217,36.183,3.5,0.033,4984.398,0,3,1.0,0.2841,391.941,0,682,48.05,0.2662,-322317332.564,5f8a38c,"C5 V1 prio band 0, np 30 830, rerun of run 13"
15,c5,2026-09-26,4,n3_flag,60.0,L1,2,valid,GOAL,2066.509,962.881,266.674,3.5,0.034,-1373.836,0,1,1.0,0.2284,274.26,0,563,47.5,0.2547,-322317333.526,5f8a38c,"C5 V1 prio band 0, np 30 830, rerun of runs 13 and 14"
