run_id,stage,date,policy,policy_name,rtt_ms,load,rep,status,result,a_ms,d_ms,b_ms,u_ms,c_ms,g_ms,n_col,n_sw,m_rate,hold_rate,rtt_ms_median,edge_stop_steps,local_steps,duration_s,min_range_m,delta_ms,git,note
1,C3,2026-09-26,1,always_local,10.0,L1,1,valid,GOAL,425.8,1116.3,,3.5,0.0327,,0,0,0.0,0.0053,11.14,0,1180,50.28,0.265,-1.862,synthetic,"SYNTHETIC, not a measurement"
2,C3,2026-09-26,1,always_local,10.0,L1,2,valid,GOAL,406.1,1151.4,,3.5,0.0353,,0,0,0.0,0.005,11.128,0,1180,47.29,0.2677,-1.946,synthetic,"SYNTHETIC, not a measurement"
3,C3,2026-09-26,1,always_local,10.0,L1,3,valid,GOAL,419.5,1076.2,,3.5,0.0354,,0,0,0.0,0.0034,11.303,0,1180,47.94,0.2612,-2.283,synthetic,"SYNTHETIC, not a measurement"
4,C3,2026-09-26,2,always_edge,10.0,L1,1,valid,GOAL,401.0,1019.2,,3.5,0.0338,,0,0,0.0,0.0046,11.384,0,0,49.18,0.2625,-1.96,synthetic,"SYNTHETIC, not a measurement"
5,C3,2026-09-26,2,always_edge,10.0,L1,2,valid,GOAL,406.2,1111.5,,3.5,0.0326,,0,0,0.0,0.0031,11.521,0,0,46.7,0.2762,-2.999,synthetic,"SYNTHETIC, not a measurement"
6,C3,2026-09-26,2,always_edge,10.0,L1,3,valid,GOAL,420.0,1076.8,,3.5,0.0338,,0,0,0.0,0.0046,11.248,0,0,48.71,0.2633,-2.6,synthetic,"SYNTHETIC, not a measurement"
7,C3,2026-09-26,3,rtt_window,10.0,L1,1,valid,GOAL,400.1,1116.2,,3.5,0.0325,,0,2,0.0,0.0047,11.465,0,293,48.42,0.2699,-2.315,synthetic,"SYNTHETIC, not a measurement"
8,C3,2026-09-26,3,rtt_window,10.0,L1,2,valid,GOAL,427.8,1077.6,,3.5,0.0352,,0,2,0.0,0.0029,11.283,0,206,46.96,0.2657,-2.289,synthetic,"SYNTHETIC, not a measurement"
9,C3,2026-09-26,3,rtt_window,10.0,L1,3,valid,GOAL,392.0,1142.3,,3.5,0.0354,,0,0,0.0,0.0042,10.961,0,386,49.76,0.2844,-1.938,synthetic,"SYNTHETIC, not a measurement"
10,C3,2026-09-26,4,n3_flag,10.0,L1,1,valid,GOAL,387.3,1068.8,8.6,3.5,0.0339,669.37,0,0,0.0,0.004,10.873,0,449,50.19,0.2755,-2.611,synthetic,"SYNTHETIC, not a measurement"
